Alambre Galvanizado Calibre 14 (Encofrados),LB,RD$55.00,RD$46.61,,MINIBANNER CON LINK
Clavos de zinc,LB,RD$55.00,RD$46.61,,MINIBANNER CON LINK
Clavos Corrientes,LB,RD$41.00,RD$34.75,,MINIBANNER CON LINK
Clavos de Acero,LB,RD$65.00,RD$55.08,,MINIBANNER CON LINK
,,,,,
LETREROS DE OBRAS,,,,,
"Arte, impresión y colocación vinil para letrero",UND,"RD$21,450.00","RD$18,177.97",,MINIBANNER CON LINK
Estructura metálica para letrero obra,UND,"RD$35,750.00","RD$30,296.61",,MINIBANNER CON LINK
,,,,,
FUMIGACION DE EXCAVACIONES/FUNDACIONES,,,,,
Fumigación general de excavaciones,M2,RD$55.00,RD$46.61,,MINIBANNER CON LINK
,,,,,
MADERAS Y CARPINTERIA,,,,,
Madera bruta pino americano,PT,RD$62.00,RD$52.54,,MINIBANNER CON LINK
Madera cepillada pino americano,PT,RD$62.00,RD$52.54,,MINIBANNER CON LINK
Madera bruta pino americano tratado,PT,RD$71.00,RD$60.17,,MINIBANNER CON LINK
Madera cepillada pino americano tratado,PT,RD$71.00,RD$60.17,,MINIBANNER CON LINK
Madera bruta pino chileno,PT,RD$50.00,RD$42.37,,MINIBANNER CON LINK
Madera cepillada pino chileno,PT,RD$50.00,RD$42.37,,MINIBANNER CON LINK
Madera sintética color Marrón oscuro 150mm x 25mm x 5.8m,UND,"RD$2,100.00","RD$1,779.66",,Plasticos Comerciales - Materiales generales
Madera sintética color Café 145mm x 25mm x 5.8m,UND,"RD$1,900.00","RD$1,610.17",,Plasticos Comerciales - Materiales generales
Madera sintética color Roja  100mm x 17mm x 5.8m,UND,"RD$1,500.00","RD$1,271.19",,Plasticos Comerciales - Materiales generales
Madera sintética color Roble Colourmix  147mm x 25mm x 5.8m,UND,"RD$2,600.00","RD$2,203.39",,Plasticos Comerciales - Materiales generales
Madera sintética color Blanca Colourmix  150mm x 25mm x 5.8m,UND,"RD$2,900.00","RD$2,457.63",,Plasticos Comerciales - Materiales generales
Madera sintética Gris Oscuro Colourmix 147mm x 25mm x 5.8m,UND,"RD$2,600.00","RD$2,203.39",,Plasticos Comerciales - Materiales generales
"Madera sintética Deck latitudes - reversible color Cedro  1-1/4"" x 6"" x 20'",UND,"RD$3,100.00","RD$2,627.12",,Plasticos Comerciales - Materiales generales
"Madera sintética Deck latitudes - reversible color  gris  1-1/4"" x 6"" x 20'",UND,"RD$3,100.00","RD$2,627.12",,Plasticos Comerciales - Materiales generales
"Madera sintética Deck latitudes - reversible color Secoya-rojo  1-1/4"" x 6"" x 20'",UND,"RD$3,100.00","RD$2,627.12",,Plasticos Comerciales - Materiales generales
"Madera sintética Deck latitudes - reversible color Nogal   1-1/4"" x 6"" x 20'",UND,"RD$3,100.00","RD$2,627.12",,Plasticos Comerciales - Materiales generales
"Madera sintética Deck Duralife  Teca-Hard wood Golden teak  0.9"" x 5.5"" x 16'",UND,"RD$2,600.00","RD$2,203.39",,Plasticos Comerciales - Materiales generales
"Madera sintética Deck Duralife  Teca-Siesta Starter   0.9"" x 5.5"" x 16'",UND,"RD$2,600.00","RD$2,203.39",,Plasticos Comerciales - Materiales generales
"Madera sintética Deck Duralife  Cedar-Edge  0.9"" x 5.5"" x 20'",UND,"RD$2,800.00","RD$2,372.88",,Plasticos Comerciales - Materiales generales
"Madera sintética Deck Duralife  Spanish Cedar MVP Ranurado  0.9"" x 5.5"" x 16'",UND,"RD$2,280.00","RD$1,932.20",,Plasticos Comerciales - Materiales generales
